iter	RMSE
0	51743535.72
1	50046638.22
2	48387453.2
3	46814778.26
4	45336047.68
5	43961872.28
6	42552315.47
7	41167088.59
8	39943633.69
9	38703820.54
10	37513520.9
11	36294241.55
12	35201466.55
13	34075951.3
14	33055640.98
15	32076014.5
16	31074811.31
17	30182420.86
18	29335214.7
19	28506870.82
20	27732236.43
21	26942388.28
22	26197186.04
23	25534343.35
24	24887492.32
25	24219337.08
26	23578631.74
27	23001619.25
28	22427980.09
29	21901203.07
30	21409909.06
31	20905609.07
32	20381527.3
33	19946763.02
34	19499750.33
35	19071669.92
36	18682042.93
37	18302295.56
38	17942993.58
39	17573691.58
40	17231921.85
41	16909455.62
42	16582457.82
43	16296018.06
44	16010731.95
45	15730983.14
46	15441744.42
47	15222619.11
48	14993354.41
49	14749007.79
50	14538839.33
51	14312075.45
52	14113192.84
53	13933610.66
54	13723015.56
55	13567065.57
56	13415860.29
57	13249033.17
58	13081010.66
59	12910447.33
60	12784108.02
61	12661937.17
62	12531552.91
63	12412132.16
64	12276400.99
65	12153169.56
66	12041910.84
67	11911525.91
68	11775892.33
69	11654210.59
70	11576542.07
71	11484975.89
72	11384602.58
73	11302859.56
74	11202300.43
75	11128351.3
76	11046734.48
77	10987001.22
78	10942023.58
79	10865055.3
80	10788200
81	10722643.98
82	10648448.32
83	10589729.2
84	10511226.73
85	10450131.23
86	10400572.19
87	10334261.26
88	10279592.93
89	10220525.91
90	10174634.33
91	10136473.55
92	10102982.13
93	10036919.9
94	9982045.894
95	9938425.871
96	9868133.061
97	9830378.201
98	9780200.352
99	9728968.692
100	9684395.312
101	9644470.629
102	9609264.331
103	9571435.574
104	9519323.445
105	9477821.738
106	9420568.573
107	9360291.767
108	9311375.981
109	9293951.672
110	9264760.459
111	9229500.135
112	9195601.534
113	9166416.416
114	9137174.206
115	9118460.12
116	9093033.499
117	9058957.172
118	9022312.066
119	8991393.369
120	8969364.726
121	8943466.099
122	8930017.767
123	8904062.741
124	8896255.104
125	8878414.906
126	8855757.757
127	8831332.152
128	8817830.711
129	8779097.464
130	8749713.245
131	8737877.022
132	8703928.539
133	8676478.097
134	8661953.192
135	8631424.535
136	8603684.04
137	8563843.499
138	8533114.281
139	8515418.03
140	8462057.587
141	8443334.777
142	8422959.882
143	8388550.611
144	8371993.819
145	8351948.337
146	8342018.628
147	8326406.507
148	8309033.838
149	8287023.22
150	8271065.283
151	8242972.542
152	8207766.61
153	8188877.234
154	8173710.014
155	8149623.693
156	8134085.053
157	8121691.662
158	8108352.643
159	8086205.394
160	8073965.649
161	8059940.634
162	8033936.915
163	8023070.225
164	7991185.484
165	7975006.684
166	7956719.585
167	7929193.097
168	7918557.556
169	7905293.686
170	7886583.704
171	7879101.58
172	7866367.105
173	7851982.448
174	7836066.638
175	7808312.566
176	7801515.263
177	7784506.186
178	7758252.894
179	7711629.357
180	7705282.748
181	7670126.097
182	7654008.701
183	7634781.245
184	7611887.645
185	7590156.1
186	7575815.735
187	7553255.144
188	7542861.522
189	7534489.548
190	7524904.597
191	7511215.024
192	7496250.658
193	7480969.711
194	7473590.18
195	7459182.552
196	7451268.725
197	7437714.312
198	7424188.994
199	7413582.871
200	7395439.014
201	7385195.98
202	7372351.232
203	7357148.192
204	7345512.878
205	7316141.337
206	7309229.184
207	7294970.005
208	7279980.781
209	7267178.275
210	7243387.164
211	7233244.147
212	7218994.887
213	7192222.878
214	7180219.477
215	7166084.693
216	7152685.55
217	7147107.191
218	7119683.65
219	7104421.842
220	7087690.784
221	7079619.986
222	7067649.256
223	7056087.859
224	7027708.331
225	7016676.046
226	7002926.825
227	6980287.266
228	6970400.646
229	6956674.645
230	6941642.905
231	6933093.332
232	6927782.566
233	6918470.131
234	6910845.604
235	6888466.243
236	6876080.349
237	6863536.768
238	6843840.243
239	6837249.093
240	6808314.816
241	6800924.738
242	6791078.3
243	6778005.603
244	6771212.405
245	6760043.12
246	6754654.864
247	6739920.229
248	6732978.923
249	6728359.751
250	6710609.665
251	6695116.854
252	6681431.665
253	6675515.796
254	6664711.554
255	6658270.079
256	6651968.228
257	6641826.859
258	6629972.103
259	6617335.919
260	6604345.225
261	6594819.009
262	6590338.427
263	6585338.923
264	6567405.768
265	6558335.544
266	6553673.59
267	6543348.051
268	6531108.078
269	6521676.725
270	6515714.725
271	6493371.035
272	6480076.971
273	6475908.338
274	6460851.369
275	6456262.404
276	6451811.573
277	6438610.066
278	6427145.253
279	6423144.823
280	6419381.074
281	6411232.635
282	6406908.48
283	6396373.935
284	6385550.509
285	6380090.909
286	6374764.723
287	6355162.353
288	6341464.277
289	6329537.397
290	6324322.751
291	6319261.152
292	6309895.291
293	6304867.219
294	6300426.564
295	6295508.086
296	6292050.103
297	6284562.465
298	6265613.869
299	6248924.845
300	6236033.726
301	6225092.264
302	6217291.483
303	6213166.036
304	6210022.978
305	6201051.574
306	6197303.943
307	6192657.113
308	6185060.416
309	6180495.012
310	6168366.427
311	6161437.179
312	6149119.73
313	6144687.741
314	6134882.11
315	6118275.139
316	6104547.836
317	6093182.239
318	6083433.4
319	6054377.847
320	6050164.646
321	6022300.647
322	6013407.54
323	5991534.46
324	5970533.089
325	5959376.471
326	5949542.177
327	5929483.814
328	5924492.678
329	5916802.98
330	5912798.136
331	5896713.846
332	5880378.595
333	5872784.011
334	5850018.993
335	5844973.142
336	5827974.861
337	5824237.893
338	5816363.985
339	5813062.236
340	5789903.609
341	5784130.095
342	5780603.112
343	5771287.962
344	5755438.247
345	5733568.581
346	5723877.876
347	5703044.998
348	5698524.8
349	5694171.289
350	5681554.317
351	5672934.506
352	5666627.24
353	5651894.001
354	5645520.373
355	5635418.226
356	5626467.135
357	5622236.907
358	5610338.187
359	5607332.996
360	5603279.837
361	5592731.767
362	5586140.481
363	5577606.929
364	5559438.121
365	5540632.175
366	5531613.143
367	5525364.721
368	5508574.287
369	5490930.954
370	5484893.069
371	5479003.76
372	5476408.134
373	5465935.104
374	5463031.94
375	5452148.661
376	5435209.981
377	5428018.907
378	5420301.849
379	5414710.097
380	5411834.434
381	5406500.032
382	5398608.696
383	5395924.109
384	5391565.583
385	5376466.952
