iter	Passed	Remaining
0	88	88385
1	89	44746
2	90	30128
3	91	22819
4	92	18475
5	93	15566
6	95	13481
7	96	11908
8	96	10675
9	97	9684
10	98	8883
11	99	8224
12	100	7656
13	101	7164
14	102	6745
15	103	6370
16	104	6047
17	105	5764
18	106	5505
19	107	5275
20	108	5066
21	109	4868
22	110	4690
23	111	4528
24	112	4379
25	113	4237
26	114	4109
27	115	3993
28	115	3883
29	116	3775
30	117	3679
31	118	3592
32	119	3505
33	120	3423
34	121	3344
35	122	3270
36	122	3200
37	123	3132
38	124	3070
39	125	3011
40	126	2957
41	127	2905
42	128	2855
43	129	2807
44	130	2760
45	130	2715
46	131	2672
47	132	2631
48	133	2596
49	134	2558
50	135	2521
51	136	2486
52	137	2453
53	138	2420
54	139	2389
55	139	2359
56	140	2329
57	141	2300
58	142	2272
59	143	2247
60	144	2222
61	145	2197
62	146	2172
63	146	2149
64	147	2125
65	148	2103
66	149	2080
67	150	2059
68	151	2038
69	151	2019
70	152	2000
71	153	1981
72	154	1963
73	155	1945
74	156	1930
75	157	1915
76	158	1899
77	159	1884
78	160	1869
79	161	1853
80	162	1838
81	162	1824
82	163	1811
83	164	1797
84	165	1783
85	166	1770
86	167	1757
87	168	1744
88	169	1732
89	170	1720
90	171	1708
91	172	1697
92	173	1687
93	173	1675
94	174	1664
95	175	1654
96	176	1644
97	177	1633
98	178	1623
99	179	1612
100	180	1602
101	180	1592
102	181	1583
103	182	1574
104	183	1565
105	184	1559
106	185	1551
107	186	1542
108	187	1533
109	188	1525
110	189	1517
111	190	1509
112	191	1500
113	192	1492
114	192	1483
115	193	1475
116	194	1467
117	195	1459
118	196	1453
119	197	1445
120	198	1439
121	199	1432
122	200	1426
123	201	1422
124	202	1416
125	203	1409
126	204	1403
127	205	1397
128	206	1391
129	206	1385
130	207	1379
131	208	1373
132	209	1367
133	210	1361
134	211	1354
135	212	1348
136	213	1342
137	214	1337
138	214	1331
139	215	1325
140	216	1320
141	217	1315
142	218	1310
143	219	1304
144	220	1300
145	221	1296
146	222	1291
147	223	1286
148	224	1281
149	225	1276
150	226	1271
151	227	1267
152	228	1263
153	229	1259
154	230	1254
155	231	1250
156	231	1245
157	232	1241
158	233	1236
159	234	1232
160	235	1227
161	236	1222
162	237	1218
163	238	1213
164	239	1209
165	239	1205
166	240	1201
167	241	1196
168	242	1192
169	243	1188
170	244	1183
171	245	1179
172	245	1175
173	246	1172
174	247	1168
175	248	1164
176	249	1161
177	250	1157
178	251	1153
179	252	1149
180	253	1146
181	254	1142
182	255	1138
183	255	1135
184	256	1131
185	257	1127
186	258	1124
187	259	1120
188	260	1117
189	261	1113
190	262	1109
191	262	1106
192	263	1102
193	264	1099
194	265	1095
195	266	1092
196	267	1089
197	268	1085
198	268	1082
199	269	1078
200	270	1075
201	271	1072
202	272	1069
203	273	1066
204	274	1063
205	275	1060
206	275	1057
207	276	1054
208	277	1052
209	278	1049
210	279	1046
211	280	1043
212	281	1040
213	282	1037
214	283	1034
215	284	1032
216	285	1030
217	286	1027
218	287	1024
219	288	1021
220	288	1018
221	289	1015
222	290	1012
223	291	1009
224	292	1006
225	293	1003
226	293	1001
227	294	998
228	295	995
229	296	992
230	297	989
231	298	987
232	299	984
233	300	982
234	300	979
235	301	977
236	302	974
237	303	971
238	304	969
239	305	966
240	306	964
241	306	961
242	307	958
243	308	956
244	309	953
245	310	951
246	311	948
247	312	946
248	313	944
249	313	941
250	314	939
251	315	936
252	316	934
253	317	932
254	318	929
255	318	926
256	319	924
257	320	921
258	321	919
259	322	917
260	323	914
261	324	912
262	325	910
263	325	908
264	326	905
265	327	903
266	328	901
267	329	899
268	330	897
269	331	895
270	331	892
271	332	890
272	333	888
273	334	886
274	335	884
275	336	882
276	337	880
277	338	878
278	339	876
279	339	874
280	340	872
281	341	869
282	342	868
283	343	865
284	344	863
285	345	861
286	346	859
287	346	857
288	347	855
289	348	853
290	349	851
291	350	849
292	351	847
293	352	845
294	352	843
295	353	841
296	354	839
297	355	837
298	356	835
299	357	833
300	358	831
301	359	830
302	360	828
303	361	827
304	362	825
305	363	823
306	364	821
307	365	820
308	365	818
309	366	816
310	367	814
311	368	812
312	369	810
313	370	809
314	371	807
315	371	805
316	372	803
317	373	801
318	374	799
319	375	797
320	376	796
321	377	794
322	378	793
323	379	792
324	381	791
325	382	790
326	383	788
327	384	786
328	384	785
329	385	783
330	386	781
331	387	780
332	388	778
333	389	776
334	390	774
335	391	773
336	392	771
337	392	769
338	393	767
339	394	766
340	395	764
341	396	762
342	397	761
343	398	759
344	399	757
345	400	756
346	401	754
347	401	753
348	402	751
349	403	749
350	404	748
351	405	746
352	406	745
353	407	743
354	408	741
355	409	740
356	410	739
357	411	737
358	412	735
359	412	734
360	413	732
361	414	730
362	415	729
363	416	727
364	417	725
365	417	724
366	418	722
367	419	720
368	420	719
369	421	717
370	422	716
371	423	714
372	424	713
373	425	711
374	425	709
375	426	708
376	427	707
377	428	705
378	429	704
379	430	702
380	431	701
381	432	699
382	433	698
383	434	696
384	435	695
385	436	693
386	437	692
387	438	691
388	439	689
389	439	688
390	440	686
391	441	685
392	442	683
393	443	682
394	444	680
395	445	679
396	446	677
397	447	676
398	447	674
399	448	673
400	449	671
401	450	670
402	451	668
403	452	667
404	453	666
405	454	664
406	455	663
407	455	661
408	456	660
409	457	658
410	458	657
411	459	655
412	460	654
413	461	652
414	462	651
415	463	650
416	464	648
417	464	647
418	465	646
419	466	644
420	467	643
421	468	641
422	469	640
423	470	639
424	471	637
425	472	636
426	473	635
427	474	633
428	475	632
429	475	630
430	476	629
431	477	627
432	478	626
433	479	625
434	480	623
435	481	622
436	482	621
437	483	619
438	484	618
439	484	617
440	485	615
441	486	614
442	487	613
443	488	611
444	489	610
445	490	609
446	491	607
447	492	606
448	493	605
449	494	604
450	495	602
451	496	601
452	497	600
453	498	599
454	498	597
455	499	596
456	500	594
457	501	593
458	502	592
459	503	591
460	504	589
461	505	588
462	506	587
463	507	585
464	508	584
465	509	583
466	509	581
467	510	580
468	511	579
469	512	578
470	513	576
471	514	575
472	515	573
473	515	572
474	516	571
475	517	569
476	518	568
477	519	567
478	520	565
479	521	564
480	522	563
481	522	561
482	523	560
483	524	559
484	525	557
485	526	556
486	527	555
487	528	554
488	529	552
489	529	551
490	530	550
491	531	549
492	532	547
493	533	546
494	534	545
495	535	543
496	536	542
497	537	541
498	537	540
499	538	538
500	539	537
501	540	536
502	541	534
503	542	533
504	543	532
505	543	530
506	544	529
507	545	528
508	546	526
509	547	525
510	548	524
511	548	523
512	549	522
513	550	520
514	551	519
515	552	518
516	553	516
517	554	515
518	554	514
519	555	513
520	556	511
521	557	510
522	558	509
523	559	507
524	560	506
525	560	505
526	561	504
527	562	502
528	563	501
529	564	500
530	565	499
531	565	497
532	567	496
533	568	495
534	569	494
535	569	493
536	570	492
537	571	490
538	572	489
539	573	488
540	574	487
541	575	486
542	576	484
543	576	483
544	577	482
545	578	481
546	579	480
547	580	478
548	581	477
549	582	476
550	583	475
551	584	474
552	585	473
553	586	472
554	587	471
555	588	469
556	589	468
557	590	467
558	591	466
559	592	465
560	593	464
561	594	463
562	594	461
563	595	460
564	596	459
565	597	458
566	598	457
567	599	455
568	600	454
569	601	453
570	602	452
571	603	451
572	604	450
573	605	449
574	606	447
575	606	446
576	607	445
577	608	444
578	609	443
579	610	442
580	611	440
581	612	439
582	613	438
583	614	437
584	615	436
585	615	435
586	616	434
587	617	432
588	618	431
589	619	430
590	620	429
591	621	428
592	622	427
593	623	425
594	624	424
595	624	423
596	625	422
597	626	421
598	627	420
599	628	418
600	629	417
601	630	416
602	631	415
603	631	414
604	632	413
605	633	412
606	634	410
607	635	409
608	636	408
609	637	407
610	638	406
611	639	405
612	640	404
613	641	403
614	642	402
615	643	401
616	644	400
617	645	399
618	646	398
619	647	396
620	648	395
621	649	394
622	650	393
623	651	392
624	652	391
625	652	390
626	653	388
627	654	387
628	655	386
629	656	385
630	657	384
631	658	383
632	659	382
633	659	381
634	660	379
635	661	378
636	662	377
637	663	376
638	664	375
639	665	374
640	666	373
641	667	371
642	667	370
643	668	369
644	669	368
645	670	367
646	671	366
647	672	365
648	673	364
649	674	363
650	675	362
651	676	360
652	677	359
653	678	358
654	679	357
655	679	356
656	680	355
657	681	354
658	682	353
659	683	352
660	684	350
661	685	349
662	686	348
663	686	347
664	687	346
665	688	345
666	689	344
667	690	343
668	691	342
669	692	341
670	693	339
671	694	338
672	695	337
673	696	336
674	696	335
675	697	334
676	698	333
677	699	332
678	700	331
679	701	329
680	702	328
681	703	327
682	704	326
683	705	325
684	705	324
685	706	323
686	707	322
687	708	321
688	709	320
689	710	319
690	711	318
691	712	317
692	713	315
693	714	314
694	715	313
695	716	312
696	716	311
697	717	310
698	718	309
699	719	308
700	720	307
701	721	306
702	722	305
703	723	304
704	724	302
705	724	301
706	725	300
707	727	299
708	728	298
709	728	297
710	729	296
711	730	295
712	731	294
713	732	293
714	733	292
715	733	291
716	734	290
717	735	288
718	736	287
719	737	286
720	738	285
721	739	284
722	740	283
723	741	282
724	742	281
725	743	280
726	743	279
727	744	278
728	745	277
729	746	276
730	747	275
731	748	273
732	749	272
733	750	271
734	750	270
735	751	269
736	752	268
737	753	267
738	754	266
739	755	265
740	756	264
741	756	263
742	757	262
743	758	261
744	759	260
745	760	258
746	761	257
747	762	256
748	762	255
749	763	254
750	764	253
751	765	252
752	766	251
753	767	250
754	768	249
755	769	248
756	769	247
757	770	246
758	771	245
759	772	243
760	773	242
761	774	241
762	775	240
763	775	239
764	776	238
765	777	237
766	778	236
767	779	235
768	780	234
769	780	233
770	781	232
771	782	231
772	783	229
773	784	228
774	784	227
775	785	226
776	786	225
777	787	224
778	788	223
779	789	222
780	789	221
781	790	220
782	791	219
783	792	218
784	793	217
785	794	216
786	795	215
787	796	214
788	797	213
789	798	212
790	799	211
791	799	210
792	800	209
793	801	207
794	802	206
795	803	205
796	804	204
797	805	203
798	805	202
799	806	201
800	807	200
801	808	199
802	809	198
803	810	197
804	811	196
805	812	195
806	813	194
807	814	193
808	815	192
809	816	191
810	817	190
811	818	189
812	819	188
813	820	187
814	820	186
815	821	185
816	822	184
817	823	183
818	824	182
819	825	181
820	826	180
821	827	179
822	828	178
823	829	177
824	830	176
825	831	175
826	832	174
827	833	173
828	833	172
829	834	171
830	835	169
831	836	168
832	837	167
833	838	166
834	839	165
835	840	164
836	841	163
837	842	162
838	843	161
839	844	160
840	844	159
841	845	158
842	846	157
843	847	156
844	848	155
845	849	154
846	850	153
847	851	152
848	852	151
849	852	150
850	853	149
851	854	148
852	855	147
853	856	146
854	857	145
855	858	144
856	859	143
857	860	142
858	860	141
859	861	140
860	862	139
861	863	138
862	864	137
863	865	136
864	866	135
865	867	134
866	867	133
867	868	132
868	869	131
869	870	130
870	871	129
871	872	128
872	873	127
873	874	126
874	875	125
875	876	124
876	877	123
877	878	122
878	879	121
879	879	119
880	880	118
881	881	117
882	882	116
883	883	115
884	884	114
885	884	113
886	885	112
887	886	111
888	887	110
889	888	109
890	889	108
891	889	107
892	890	106
893	891	105
894	892	104
895	893	103
896	894	102
897	894	101
898	895	100
899	896	99
900	897	98
901	898	97
902	899	96
903	900	95
904	900	94
905	901	93
906	902	92
907	903	91
908	904	90
909	905	89
910	906	88
911	906	87
912	907	86
913	908	85
914	909	84
915	910	83
916	910	82
917	911	81
918	912	80
919	913	79
920	914	78
921	915	77
922	916	76
923	916	75
924	917	74
925	918	73
926	919	72
927	920	71
928	921	70
929	922	69
930	923	68
931	923	67
932	924	66
933	925	65
934	926	64
935	927	63
936	928	62
937	928	61
938	929	60
939	930	59
940	931	58
941	932	57
942	933	56
943	934	55
944	935	54
945	935	53
946	936	52
947	938	51
948	939	50
949	940	49
950	940	48
951	941	47
952	942	46
953	943	45
954	944	44
955	945	43
956	945	42
957	946	41
958	947	40
959	948	39
960	949	38
961	950	37
962	951	36
963	952	35
964	953	34
965	954	33
966	955	32
967	956	31
968	957	30
969	958	29
970	959	28
971	960	27
972	961	26
973	962	25
974	963	24
975	964	23
976	965	22
977	965	21
978	966	20
979	967	19
980	968	18
981	969	17
982	970	16
983	971	15
984	972	14
985	973	13
986	974	12
987	975	11
988	976	10
989	977	9
990	978	8
991	979	7
992	980	6
993	980	5
994	981	4
995	982	3
996	983	2
997	984	1
998	985	0
999	986	0
